2023-09-14 14:49:00 ------- Simulation started
2023-09-14 14:49:00 ------- The ship landed at Coordinate[x=6, y=6]
2023-09-14 14:49:00 ------- STEP: 0, EVENT: The rover has been deployed, UNIT: rover-1,POSITION [5,6]
2023-09-14 14:49:00 ------- STEP: 8, EVENT: SCAN, UNIT: rover-1,POSITION [1,4]
2023-09-14 14:49:00 ------- STEP: 9, EVENT: POSITION, UNIT: rover-1,POSITION [1,5]
2023-09-14 14:49:00 ------- STEP: 9, EVENT: SCAN, UNIT: rover-1,POSITION [1,5]
2023-09-14 14:49:00 ------- STEP: 10, EVENT: POSITION, UNIT: rover-1,POSITION [1,6]
2023-09-14 14:49:00 ------- STEP: 10, EVENT: SCAN, UNIT: rover-1,POSITION [1,6]
2023-09-14 14:49:00 ------- STEP: 11, EVENT: POSITION, UNIT: rover-1,POSITION [1,7]
2023-09-14 14:49:00 ------- STEP: 11, EVENT: SCAN, UNIT: rover-1,POSITION [1,7]
2023-09-14 14:49:00 ------- STEP: 12, EVENT: POSITION, UNIT: rover-1,POSITION [0,6]
2023-09-14 14:49:00 ------- STEP: 12, EVENT: SCAN, UNIT: rover-1,POSITION [0,6]
2023-09-14 14:49:00 ------- STEP: 13, EVENT: POSITION, UNIT: rover-1,POSITION [0,5]
2023-09-14 14:49:00 ------- STEP: 13, EVENT: SCAN, UNIT: rover-1,POSITION [0,5]
2023-09-14 14:49:00 ------- STEP: 14, EVENT: POSITION, UNIT: rover-1,POSITION [0,4]
2023-09-14 14:49:00 ------- STEP: 14, EVENT: SCAN, UNIT: rover-1,POSITION [0,4]
2023-09-14 14:49:00 ------- STEP: 15, EVENT: POSITION, UNIT: rover-1,POSITION [1,3]
2023-09-14 14:49:00 ------- STEP: 15, EVENT: SCAN, UNIT: rover-1,POSITION [1,3]
2023-09-14 14:49:00 ------- STEP: 16, EVENT: POSITION, UNIT: rover-1,POSITION [1,2]
2023-09-14 14:49:00 ------- STEP: 16, EVENT: SCAN, UNIT: rover-1,POSITION [1,2]
2023-09-14 14:49:00 ------- STEP: 17, EVENT: POSITION, UNIT: rover-1,POSITION [0,2]
2023-09-14 14:49:00 ------- STEP: 17, EVENT: SCAN, UNIT: rover-1,POSITION [0,2]
2023-09-14 14:49:00 ------- STEP: 18, EVENT: POSITION, UNIT: rover-1,POSITION [0,1]
2023-09-14 14:49:00 ------- STEP: 18, EVENT: SCAN, UNIT: rover-1,POSITION [0,1]
2023-09-14 14:49:00 ------- STEP: 19, EVENT: POSITION, UNIT: rover-1,POSITION [1,0]
2023-09-14 14:49:00 ------- STEP: 19, EVENT: SCAN, UNIT: rover-1,POSITION [1,0]
2023-09-14 14:49:00 ------- STEP: 20, EVENT: POSITION, UNIT: rover-1,POSITION [2,1]
2023-09-14 14:49:00 ------- STEP: 20, EVENT: SCAN, UNIT: rover-1,POSITION [2,1]
2023-09-14 14:49:00 ------- STEP: 21, EVENT: POSITION, UNIT: rover-1,POSITION [2,0]
2023-09-14 14:49:00 ------- STEP: 21, EVENT: SCAN, UNIT: rover-1,POSITION [2,0]
2023-09-14 14:49:00 ------- STEP: 22, EVENT: POSITION, UNIT: rover-1,POSITION [3,0]
2023-09-14 14:49:00 ------- STEP: 22, EVENT: SCAN, UNIT: rover-1,POSITION [3,0]
2023-09-14 14:49:00 ------- STEP: 23, EVENT: POSITION, UNIT: rover-1,POSITION [3,1]
2023-09-14 14:49:00 ------- STEP: 23, EVENT: SCAN, UNIT: rover-1,POSITION [3,1]
2023-09-14 14:49:00 ------- STEP: 24, EVENT: POSITION, UNIT: rover-1,POSITION [4,2]
2023-09-14 14:49:00 ------- STEP: 24, EVENT: SCAN, UNIT: rover-1,POSITION [4,2]
2023-09-14 14:49:00 ------- STEP: 25, EVENT: POSITION, UNIT: rover-1,POSITION [5,3]
2023-09-14 14:49:00 ------- STEP: 25, EVENT: SCAN, UNIT: rover-1,POSITION [5,3]
2023-09-14 14:49:00 ------- STEP: 26, EVENT: POSITION, UNIT: rover-1,POSITION [6,4]
2023-09-14 14:49:00 ------- STEP: 26, EVENT: SCAN, UNIT: rover-1,POSITION [6,4]
2023-09-14 14:49:00 ------- STEP: 27, EVENT: POSITION, UNIT: rover-1,POSITION [7,3]
2023-09-14 14:49:00 ------- STEP: 27, EVENT: SCAN, UNIT: rover-1,POSITION [7,3]
2023-09-14 14:49:00 ------- STEP: 28, EVENT: POSITION, UNIT: rover-1,POSITION [6,2]
2023-09-14 14:49:00 ------- STEP: 28, EVENT: SCAN, UNIT: rover-1,POSITION [6,2]
2023-09-14 14:49:00 ------- STEP: 29, EVENT: POSITION, UNIT: rover-1,POSITION [6,1]
2023-09-14 14:49:00 ------- STEP: 29, EVENT: SCAN, UNIT: rover-1,POSITION [6,1]
2023-09-14 14:49:00 ------- STEP: 30, EVENT: POSITION, UNIT: rover-1,POSITION [5,0]
2023-09-14 14:49:00 ------- STEP: 30, EVENT: SCAN, UNIT: rover-1,POSITION [5,0]
2023-09-14 14:49:00 ------- STEP: 31, EVENT: POSITION, UNIT: rover-1,POSITION [4,1]
2023-09-14 14:49:00 ------- STEP: 31, EVENT: SCAN, UNIT: rover-1,POSITION [4,1]
2023-09-14 14:49:00 ------- STEP: 32, EVENT: POSITION, UNIT: rover-1,POSITION [5,2]
2023-09-14 14:49:00 ------- STEP: 32, EVENT: SCAN, UNIT: rover-1,POSITION [5,2]
2023-09-14 14:49:00 ------- STEP: 33, EVENT: POSITION, UNIT: rover-1,POSITION [6,3]
2023-09-14 14:49:00 ------- STEP: 33, EVENT: SCAN, UNIT: rover-1,POSITION [6,3]
2023-09-14 14:49:00 ------- STEP: 34, EVENT: POSITION, UNIT: rover-1,POSITION [7,4]
2023-09-14 14:49:00 ------- STEP: 34, EVENT: SCAN, UNIT: rover-1,POSITION [7,4]
2023-09-14 14:49:00 ------- STEP: 35, EVENT: POSITION, UNIT: rover-1,POSITION [8,5]
2023-09-14 14:49:00 ------- STEP: 35, EVENT: SCAN, UNIT: rover-1,POSITION [8,5]
2023-09-14 14:49:00 ------- STEP: 36, EVENT: POSITION, UNIT: rover-1,POSITION [9,5]
2023-09-14 14:49:00 ------- STEP: 36, EVENT: SCAN, UNIT: rover-1,POSITION [9,5]
2023-09-14 14:49:00 ------- STEP: 37, EVENT: POSITION, UNIT: rover-1,POSITION [9,4]
2023-09-14 14:49:00 ------- STEP: 37, EVENT: SCAN, UNIT: rover-1,POSITION [9,4]
2023-09-14 14:49:00 ------- STEP: 38, EVENT: POSITION, UNIT: rover-1,POSITION [10,5]
2023-09-14 14:49:00 ------- STEP: 38, EVENT: SCAN, UNIT: rover-1,POSITION [10,5]
2023-09-14 14:49:00 ------- STEP: 39, EVENT: POSITION, UNIT: rover-1,POSITION [11,5]
2023-09-14 14:49:00 ------- STEP: 39, EVENT: SCAN, UNIT: rover-1,POSITION [11,5]
2023-09-14 14:49:00 ------- STEP: 40, EVENT: POSITION, UNIT: rover-1,POSITION [11,6]
2023-09-14 14:49:00 ------- STEP: 40, EVENT: SCAN, UNIT: rover-1,POSITION [11,6]
2023-09-14 14:49:00 ------- STEP: 41, EVENT: POSITION, UNIT: rover-1,POSITION [10,6]
2023-09-14 14:49:00 ------- STEP: 41, EVENT: SCAN, UNIT: rover-1,POSITION [10,6]
2023-09-14 14:49:00 ------- STEP: 42, EVENT: POSITION, UNIT: rover-1,POSITION [11,7]
2023-09-14 14:49:00 ------- STEP: 42, EVENT: SCAN, UNIT: rover-1,POSITION [11,7]
2023-09-14 14:49:00 ------- STEP: 43, EVENT: POSITION, UNIT: rover-1,POSITION [12,8]
2023-09-14 14:49:00 ------- STEP: 43, EVENT: SCAN, UNIT: rover-1,POSITION [12,8]
2023-09-14 14:49:00 ------- STEP: 44, EVENT: POSITION, UNIT: rover-1,POSITION [13,8]
2023-09-14 14:49:00 ------- STEP: 44, EVENT: SCAN, UNIT: rover-1,POSITION [13,8]
2023-09-14 14:49:00 ------- STEP: 45, EVENT: POSITION, UNIT: rover-1,POSITION [12,9]
2023-09-14 14:49:00 ------- STEP: 45, EVENT: SCAN, UNIT: rover-1,POSITION [12,9]
2023-09-14 14:49:00 ------- STEP: 46, EVENT: POSITION, UNIT: rover-1,POSITION [12,10]
2023-09-14 14:49:00 ------- STEP: 46, EVENT: SCAN, UNIT: rover-1,POSITION [12,10]
2023-09-14 14:49:00 ------- STEP: 47, EVENT: POSITION, UNIT: rover-1,POSITION [13,11]
2023-09-14 14:49:00 ------- STEP: 47, EVENT: SCAN, UNIT: rover-1,POSITION [13,11]
2023-09-14 14:49:00 ------- STEP: 48, EVENT: POSITION, UNIT: rover-1,POSITION [14,12]
2023-09-14 14:49:00 ------- STEP: 48, EVENT: SCAN, UNIT: rover-1,POSITION [14,12]
2023-09-14 14:49:00 ------- STEP: 49, EVENT: POSITION, UNIT: rover-1,POSITION [15,12]
2023-09-14 14:49:00 ------- STEP: 49, EVENT: SCAN, UNIT: rover-1,POSITION [15,12]
2023-09-14 14:49:00 ------- STEP: 50, EVENT: POSITION, UNIT: rover-1,POSITION [16,11]
2023-09-14 14:49:00 ------- STEP: 50, EVENT: SCAN, UNIT: rover-1,POSITION [16,11]
2023-09-14 14:49:00 ------- STEP: 51, EVENT: POSITION, UNIT: rover-1,POSITION [17,12]
2023-09-14 14:49:00 ------- STEP: 51, EVENT: SCAN, UNIT: rover-1,POSITION [17,12]
2023-09-14 14:49:00 ------- STEP: 52, EVENT: POSITION, UNIT: rover-1,POSITION [17,13]
2023-09-14 14:49:00 ------- STEP: 52, EVENT: SCAN, UNIT: rover-1,POSITION [17,13]
2023-09-14 14:49:00 ------- STEP: 53, EVENT: POSITION, UNIT: rover-1,POSITION [17,14]
2023-09-14 14:49:00 ------- STEP: 53, EVENT: SCAN, UNIT: rover-1,POSITION [17,14]
2023-09-14 14:49:00 ------- STEP: 54, EVENT: POSITION, UNIT: rover-1,POSITION [16,13]
2023-09-14 14:49:00 ------- STEP: 54, EVENT: SCAN, UNIT: rover-1,POSITION [16,13]
2023-09-14 14:49:00 ------- STEP: 55, EVENT: POSITION, UNIT: rover-1,POSITION [15,13]
2023-09-14 14:49:00 ------- STEP: 55, EVENT: SCAN, UNIT: rover-1,POSITION [15,13]
2023-09-14 14:49:00 ------- STEP: 56, EVENT: POSITION, UNIT: rover-1,POSITION [16,12]
2023-09-14 14:49:00 ------- STEP: 56, EVENT: SCAN, UNIT: rover-1,POSITION [16,12]
2023-09-14 14:49:00 ------- STEP: 57, EVENT: POSITION, UNIT: rover-1,POSITION [17,11]
2023-09-14 14:49:00 ------- STEP: 57, EVENT: SCAN, UNIT: rover-1,POSITION [17,11]
2023-09-14 14:49:00 ------- STEP: 58, EVENT: POSITION, UNIT: rover-1,POSITION [18,12]
2023-09-14 14:49:00 ------- STEP: 58, EVENT: SCAN, UNIT: rover-1,POSITION [18,12]
2023-09-14 14:49:00 ------- STEP: 59, EVENT: POSITION, UNIT: rover-1,POSITION [18,11]
2023-09-14 14:49:00 ------- STEP: 59, EVENT: SCAN, UNIT: rover-1,POSITION [18,11]
2023-09-14 14:49:00 ------- STEP: 60, EVENT: POSITION, UNIT: rover-1,POSITION [19,10]
2023-09-14 14:49:00 ------- STEP: 60, EVENT: SCAN, UNIT: rover-1,POSITION [19,10]
2023-09-14 14:49:00 ------- STEP: 61, EVENT: POSITION, UNIT: rover-1,POSITION [18,9]
2023-09-14 14:49:00 ------- STEP: 61, EVENT: SCAN, UNIT: rover-1,POSITION [18,9]
2023-09-14 14:49:00 ------- STEP: 62, EVENT: POSITION, UNIT: rover-1,POSITION [18,8]
2023-09-14 14:49:00 ------- STEP: 62, EVENT: SCAN, UNIT: rover-1,POSITION [18,8]
2023-09-14 14:49:00 ------- STEP: 63, EVENT: POSITION, UNIT: rover-1,POSITION [19,7]
2023-09-14 14:49:00 ------- STEP: 63, EVENT: SCAN, UNIT: rover-1,POSITION [19,7]
2023-09-14 14:49:00 ------- STEP: 64, EVENT: POSITION, UNIT: rover-1,POSITION [20,6]
2023-09-14 14:49:00 ------- STEP: 64, EVENT: SCAN, UNIT: rover-1,POSITION [20,6]
2023-09-14 14:49:00 ------- STEP: 65, EVENT: POSITION, UNIT: rover-1,POSITION [20,5]
2023-09-14 14:49:00 ------- STEP: 65, EVENT: SCAN, UNIT: rover-1,POSITION [20,5]
2023-09-14 14:49:00 ------- STEP: 66, EVENT: POSITION, UNIT: rover-1,POSITION [21,5]
2023-09-14 14:49:00 ------- STEP: 66, EVENT: SCAN, UNIT: rover-1,POSITION [21,5]
2023-09-14 14:49:00 ------- STEP: 67, EVENT: POSITION, UNIT: rover-1,POSITION [20,4]
2023-09-14 14:49:00 ------- STEP: 67, EVENT: SCAN, UNIT: rover-1,POSITION [20,4]
2023-09-14 14:49:00 ------- STEP: 68, EVENT: POSITION, UNIT: rover-1,POSITION [20,3]
2023-09-14 14:49:00 ------- STEP: 68, EVENT: SCAN, UNIT: rover-1,POSITION [20,3]
2023-09-14 14:49:00 ------- STEP: 69, EVENT: POSITION, UNIT: rover-1,POSITION [19,2]
2023-09-14 14:49:00 ------- STEP: 69, EVENT: SCAN, UNIT: rover-1,POSITION [19,2]
2023-09-14 14:49:00 ------- STEP: 70, EVENT: POSITION, UNIT: rover-1,POSITION [20,1]
2023-09-14 14:49:00 ------- STEP: 70, EVENT: SCAN, UNIT: rover-1,POSITION [20,1]
2023-09-14 14:49:00 ------- STEP: 71, EVENT: POSITION, UNIT: rover-1,POSITION [20,0]
2023-09-14 14:49:00 ------- STEP: 71, EVENT: SCAN, UNIT: rover-1,POSITION [20,0]
2023-09-14 14:49:00 ------- STEP: 72, EVENT: POSITION, UNIT: rover-1,POSITION [19,1]
2023-09-14 14:49:00 ------- STEP: 72, EVENT: SCAN, UNIT: rover-1,POSITION [19,1]
2023-09-14 14:49:00 ------- STEP: 73, EVENT: POSITION, UNIT: rover-1,POSITION [18,2]
2023-09-14 14:49:00 ------- STEP: 73, EVENT: SCAN, UNIT: rover-1,POSITION [18,2]
2023-09-14 14:49:00 ------- STEP: 74, EVENT: POSITION, UNIT: rover-1,POSITION [17,2]
2023-09-14 14:49:00 ------- STEP: 74, EVENT: SCAN, UNIT: rover-1,POSITION [17,2]
2023-09-14 14:49:00 ------- STEP: 75, EVENT: POSITION, UNIT: rover-1,POSITION [18,3]
2023-09-14 14:49:00 ------- STEP: 75, EVENT: SCAN, UNIT: rover-1,POSITION [18,3]
2023-09-14 14:49:00 ------- STEP: 76, EVENT: POSITION, UNIT: rover-1,POSITION [19,3]
2023-09-14 14:49:00 ------- STEP: 76, EVENT: SCAN, UNIT: rover-1,POSITION [19,3]
2023-09-14 14:49:00 ------- STEP: 77, EVENT: POSITION, UNIT: rover-1,POSITION [19,4]
2023-09-14 14:49:00 ------- STEP: 77, EVENT: SCAN, UNIT: rover-1,POSITION [19,4]
2023-09-14 14:49:00 ------- STEP: 78, EVENT: POSITION, UNIT: rover-1,POSITION [18,5]
2023-09-14 14:49:00 ------- STEP: 78, EVENT: SCAN, UNIT: rover-1,POSITION [18,5]
2023-09-14 14:49:00 ------- STEP: 79, EVENT: POSITION, UNIT: rover-1,POSITION [17,5]
2023-09-14 14:49:00 ------- STEP: 79, EVENT: SCAN, UNIT: rover-1,POSITION [17,5]
2023-09-14 14:49:00 ------- STEP: 80, EVENT: POSITION, UNIT: rover-1,POSITION [16,5]
2023-09-14 14:49:00 ------- STEP: 80, EVENT: SCAN, UNIT: rover-1,POSITION [16,5]
2023-09-14 14:49:00 ------- STEP: 81, EVENT: POSITION, UNIT: rover-1,POSITION [15,5]
2023-09-14 14:49:00 ------- STEP: 81, EVENT: SCAN, UNIT: rover-1,POSITION [15,5]
2023-09-14 14:49:00 ------- STEP: 82, EVENT: POSITION, UNIT: rover-1,POSITION [15,4]
2023-09-14 14:49:00 ------- STEP: 82, EVENT: SCAN, UNIT: rover-1,POSITION [15,4]
2023-09-14 14:49:00 ------- STEP: 83, EVENT: POSITION, UNIT: rover-1,POSITION [14,5]
2023-09-14 14:49:00 ------- STEP: 83, EVENT: SCAN, UNIT: rover-1,POSITION [14,5]
2023-09-14 14:49:00 ------- STEP: 84, EVENT: POSITION, UNIT: rover-1,POSITION [14,6]
2023-09-14 14:49:00 ------- STEP: 84, EVENT: SCAN, UNIT: rover-1,POSITION [14,6]
2023-09-14 14:49:00 ------- STEP: 85, EVENT: POSITION, UNIT: rover-1,POSITION [13,5]
2023-09-14 14:49:00 ------- STEP: 85, EVENT: SCAN, UNIT: rover-1,POSITION [13,5]
2023-09-14 14:49:00 ------- STEP: 86, EVENT: POSITION, UNIT: rover-1,POSITION [13,6]
2023-09-14 14:49:00 ------- STEP: 86, EVENT: SCAN, UNIT: rover-1,POSITION [13,6]
2023-09-14 14:49:00 ------- STEP: 87, EVENT: POSITION, UNIT: rover-1,POSITION [12,6]
2023-09-14 14:49:00 ------- STEP: 87, EVENT: SCAN, UNIT: rover-1,POSITION [12,6]
2023-09-14 14:49:00 ------- STEP: 88, EVENT: POSITION, UNIT: rover-1,POSITION [12,5]
2023-09-14 14:49:00 ------- STEP: 88, EVENT: SCAN, UNIT: rover-1,POSITION [12,5]
2023-09-14 14:49:00 ------- STEP: 89, EVENT: POSITION, UNIT: rover-1,POSITION [11,4]
2023-09-14 14:49:00 ------- STEP: 89, EVENT: SCAN, UNIT: rover-1,POSITION [11,4]
2023-09-14 14:49:00 ------- STEP: 90, EVENT: POSITION, UNIT: rover-1,POSITION [10,3]
2023-09-14 14:49:00 ------- STEP: 90, EVENT: SCAN, UNIT: rover-1,POSITION [10,3]
2023-09-14 14:49:00 ------- STEP: 91, EVENT: POSITION, UNIT: rover-1,POSITION [10,2]
2023-09-14 14:49:00 ------- STEP: 91, EVENT: SCAN, UNIT: rover-1,POSITION [10,2]
2023-09-14 14:49:00 ------- STEP: 92, EVENT: POSITION, UNIT: rover-1,POSITION [11,2]
2023-09-14 14:49:00 ------- STEP: 92, EVENT: SCAN, UNIT: rover-1,POSITION [11,2]
2023-09-14 14:49:00 ------- STEP: 93, EVENT: POSITION, UNIT: rover-1,POSITION [11,3]
2023-09-14 14:49:00 ------- STEP: 93, EVENT: SCAN, UNIT: rover-1,POSITION [11,3]
2023-09-14 14:49:00 ------- STEP: 94, EVENT: POSITION, UNIT: rover-1,POSITION [12,2]
2023-09-14 14:49:00 ------- STEP: 94, EVENT: SCAN, UNIT: rover-1,POSITION [12,2]
2023-09-14 14:49:00 ------- STEP: 95, EVENT: POSITION, UNIT: rover-1,POSITION [13,2]
2023-09-14 14:49:00 ------- STEP: 95, EVENT: SCAN, UNIT: rover-1,POSITION [13,2]
2023-09-14 14:49:00 ------- STEP: 96, EVENT: POSITION, UNIT: rover-1,POSITION [14,1]
2023-09-14 14:49:00 ------- STEP: 96, EVENT: SCAN, UNIT: rover-1,POSITION [14,1]
2023-09-14 14:49:00 ------- STEP: 97, EVENT: POSITION, UNIT: rover-1,POSITION [15,2]
2023-09-14 14:49:00 ------- STEP: 97, EVENT: SCAN, UNIT: rover-1,POSITION [15,2]
2023-09-14 14:49:00 ------- STEP: 98, EVENT: POSITION, UNIT: rover-1,POSITION [14,2]
2023-09-14 14:49:00 ------- STEP: 98, EVENT: SCAN, UNIT: rover-1,POSITION [14,2]
2023-09-14 14:49:00 ------- STEP: 99, EVENT: POSITION, UNIT: rover-1,POSITION [13,3]
2023-09-14 14:49:00 ------- STEP: 99, EVENT: SCAN, UNIT: rover-1,POSITION [13,3]
2023-09-14 14:49:00 ------- STEP: 100, EVENT: POSITION, UNIT: rover-1,POSITION [12,3]
2023-09-14 14:49:00 ------- STEP: 100, EVENT: SCAN, UNIT: rover-1,POSITION [12,3]
2023-09-14 14:49:00 ------- STEP: 101, EVENT: POSITION, UNIT: rover-1,POSITION [12,4]
2023-09-14 14:49:00 ------- STEP: 101, EVENT: SCAN, UNIT: rover-1,POSITION [12,4]
2023-09-14 14:49:00 ------- STEP: 102, EVENT: POSITION, UNIT: rover-1,POSITION [13,4]
2023-09-14 14:49:00 ------- STEP: 102, EVENT: SCAN, UNIT: rover-1,POSITION [13,4]
2023-09-14 14:49:00 ------- STEP: 103, EVENT: POSITION, UNIT: rover-1,POSITION [14,3]
2023-09-14 14:49:00 ------- STEP: 103, EVENT: SCAN, UNIT: rover-1,POSITION [14,3]
2023-09-14 14:49:00 ------- STEP: 104, EVENT: POSITION, UNIT: rover-1,POSITION [15,3]
2023-09-14 14:49:00 ------- STEP: 104, EVENT: SCAN, UNIT: rover-1,POSITION [15,3]
2023-09-14 14:49:00 ------- STEP: 105, EVENT: POSITION, UNIT: rover-1,POSITION [16,3]
2023-09-14 14:49:00 ------- STEP: 105, EVENT: SCAN, UNIT: rover-1,POSITION [16,3]
2023-09-14 14:49:00 ------- STEP: 106, EVENT: POSITION, UNIT: rover-1,POSITION [17,4]
2023-09-14 14:49:00 ------- STEP: 106, EVENT: SCAN, UNIT: rover-1,POSITION [17,4]
2023-09-14 14:49:00 ------- STEP: 107, EVENT: POSITION, UNIT: rover-1,POSITION [18,4]
2023-09-14 14:49:00 ------- STEP: 107, EVENT: SCAN, UNIT: rover-1,POSITION [18,4]
2023-09-14 14:49:00 ------- STEP: 108, EVENT: POSITION, UNIT: rover-1,POSITION [17,3]
2023-09-14 14:49:00 ------- STEP: 108, EVENT: SCAN, UNIT: rover-1,POSITION [17,3]
2023-09-14 14:49:00 ------- STEP: 109, EVENT: POSITION, UNIT: rover-1,POSITION [16,4]
2023-09-14 14:49:00 ------- STEP: 109, EVENT: SCAN, UNIT: rover-1,POSITION [16,4]
2023-09-14 14:49:00 ------- STEP: 110, EVENT: POSITION, UNIT: rover-1,POSITION [15,4]
2023-09-14 14:49:00 ------- STEP: 110, EVENT: SCAN, UNIT: rover-1,POSITION [15,4]
2023-09-14 14:49:00 ------- STEP: 111, EVENT: POSITION, UNIT: rover-1,POSITION [14,4]
2023-09-14 14:49:00 ------- STEP: 111, EVENT: SCAN, UNIT: rover-1,POSITION [14,4]
2023-09-14 14:49:00 ------- STEP: 112, EVENT: POSITION, UNIT: rover-1,POSITION [14,5]
2023-09-14 14:49:00 ------- STEP: 112, EVENT: SCAN, UNIT: rover-1,POSITION [14,5]
2023-09-14 14:49:00 ------- STEP: 113, EVENT: POSITION, UNIT: rover-1,POSITION [15,6]
2023-09-14 14:49:00 ------- STEP: 113, EVENT: SCAN, UNIT: rover-1,POSITION [15,6]
2023-09-14 14:49:00 ------- STEP: 114, EVENT: POSITION, UNIT: rover-1,POSITION [14,7]
2023-09-14 14:49:00 ------- STEP: 114, EVENT: SCAN, UNIT: rover-1,POSITION [14,7]
2023-09-14 14:49:00 ------- STEP: 115, EVENT: POSITION, UNIT: rover-1,POSITION [15,7]
2023-09-14 14:49:00 ------- STEP: 115, EVENT: SCAN, UNIT: rover-1,POSITION [15,7]
2023-09-14 14:49:00 ------- STEP: 116, EVENT: POSITION, UNIT: rover-1,POSITION [14,8]
2023-09-14 14:49:00 ------- STEP: 116, EVENT: SCAN, UNIT: rover-1,POSITION [14,8]
2023-09-14 14:49:00 ------- STEP: 117, EVENT: POSITION, UNIT: rover-1,POSITION [13,7]
2023-09-14 14:49:00 ------- STEP: 117, EVENT: SCAN, UNIT: rover-1,POSITION [13,7]
2023-09-14 14:49:00 ------- STEP: 118, EVENT: POSITION, UNIT: rover-1,POSITION [12,7]
2023-09-14 14:49:00 ------- STEP: 118, EVENT: SCAN, UNIT: rover-1,POSITION [12,7]
2023-09-14 14:49:00 ------- STEP: 119, EVENT: POSITION, UNIT: rover-1,POSITION [11,8]
2023-09-14 14:49:00 ------- STEP: 119, EVENT: SCAN, UNIT: rover-1,POSITION [11,8]
2023-09-14 14:49:00 ------- STEP: 120, EVENT: POSITION, UNIT: rover-1,POSITION [11,9]
2023-09-14 14:49:00 ------- STEP: 120, EVENT: SCAN, UNIT: rover-1,POSITION [11,9]
2023-09-14 14:49:00 ------- STEP: 121, EVENT: POSITION, UNIT: rover-1,POSITION [10,10]
2023-09-14 14:49:00 ------- STEP: 121, EVENT: SCAN, UNIT: rover-1,POSITION [10,10]
2023-09-14 14:49:00 ------- STEP: 122, EVENT: POSITION, UNIT: rover-1,POSITION [10,11]
2023-09-14 14:49:00 ------- STEP: 122, EVENT: SCAN, UNIT: rover-1,POSITION [10,11]
2023-09-14 14:49:00 ------- STEP: 123, EVENT: POSITION, UNIT: rover-1,POSITION [11,11]
2023-09-14 14:49:00 ------- STEP: 123, EVENT: SCAN, UNIT: rover-1,POSITION [11,11]
2023-09-14 14:49:00 ------- STEP: 124, EVENT: POSITION, UNIT: rover-1,POSITION [11,10]
2023-09-14 14:49:00 ------- STEP: 124, EVENT: SCAN, UNIT: rover-1,POSITION [11,10]
2023-09-14 14:49:00 ------- STEP: 125, EVENT: POSITION, UNIT: rover-1,POSITION [12,11]
2023-09-14 14:49:00 ------- STEP: 125, EVENT: SCAN, UNIT: rover-1,POSITION [12,11]
2023-09-14 14:49:00 ------- STEP: 126, EVENT: POSITION, UNIT: rover-1,POSITION [13,10]
2023-09-14 14:49:00 ------- STEP: 126, EVENT: SCAN, UNIT: rover-1,POSITION [13,10]
2023-09-14 14:49:00 ------- STEP: 127, EVENT: POSITION, UNIT: rover-1,POSITION [14,9]
2023-09-14 14:49:00 ------- STEP: 127, EVENT: SCAN, UNIT: rover-1,POSITION [14,9]
2023-09-14 14:49:00 ------- STEP: 128, EVENT: POSITION, UNIT: rover-1,POSITION [13,9]
2023-09-14 14:49:00 ------- STEP: 128, EVENT: SCAN, UNIT: rover-1,POSITION [13,9]
2023-09-14 14:49:00 ------- STEP: 129, EVENT: POSITION, UNIT: rover-1,POSITION [14,10]
